"","species","Count","aphiaID"
"1","Acanella arbuscula",17,125371
"2","Acanthephyra eximia",1,564909
"3","Acanthephyra purpurea",10,107582
"4","Acanthogorgia armata",11,125348
"5","Accipiter cooperii",NA,159103
"6","Accipiter gentilis",NA,159104
"7","Accipiter striatus",NA,159105
"8","Acipenser oxyrinchus",13,151802
"9","Actinauge",253,100750
"10","Actiniidae",37,100653
"11","Actinostola",349,100709
"12","Actitis macularius",NA,159081
"13","Aega psora",51,118827
"14","Agarum cribrosum",8,495975
"15","Agelaius phoeniceus",NA,159394
"16","Agriopoma morrhuanum",11,594424
"17","Aix sponsa",NA,158938
"18","Alaria esculenta",2,145716
"19","Alca torda",NA,137128
"20","Alcidae",NA,136987
"21","Alcyonidium",13,110993
"22","Alcyonium digitatum",24,125333
"23","Aldrovandia",84,125837
"24","Alepisaurus brevirostris",1,126332
"25","Alepisaurus ferox",1,126333
"26","Alepocephalus agassizii",28,126681
"27","Alepocephalus bairdii",15,126682
"28","Alle alle",NA,137129
"29","Alosa aestivalis",94,158667
"30","Alosa pseudoharengus",2460,158669
"31","Alosa sapidissima",899,158670
"32","Aluterus schoepfii",4,159490
"33","Amblyraja hyperborea",1,105863
"34","Amblyraja jenseni",2,105864
"35","Amblyraja radiata",12748,105865
"36","Amicula vestita",3,159928
"37","Ammodramus caudacutus",NA,159396
"38","Ammodramus maritimus",NA,159397
"39","Ammodytes",6257,125909
"40","Ampelisca",4,101445
"41","Amphiura",19,123613
"42","Anarhichas denticulatus",69,126757
"43","Anarhichas lupus",3472,126758
"44","Anarhichas minor",448,126759
"45","Anas acuta",NA,158939
"46","Anas americana",NA,158940
"47","Anas clypeata",NA,158941
"48","Anas crecca",NA,158943
"49","Anas crecca carolinensis",NA,158944
"50","Anas discors",NA,159167
"51","Anas penelope",NA,159168
"52","Anas platyrhynchos",NA,148791
"53","Anas querquedula",NA,159169
"54","Anas rubripes",NA,159170
"55","Anas strepera",NA,159171
"56","Anguilla rostrata",23,158562
"57","Anisarchus medius",127,127070
"58","Anomia",39,137650
"59","Anonyx",114,101592
"60","Anoplogaster cornuta",10,126393
"61","Anotopterus pharao",4,126334
"62","Anser albifrons",NA,159159
"63","Antalis",1,150531
"64","Anthias nicholsi",5,159344
"65","Anthomastus grandiflorus",6,125335
"66","Anthoptilum grandiflorum",308,128504
"67","Antigonia capros",7,127418
"68","Antimora rostrata",36,126486
"69","Aphanopus carbo",3,127085
"70","Aphrodita hastata",2103,157181
"71","Apristurus",144,105727
"72","Aquila chrysaetos",NA,159107
"73","Arbacia punctulata",9,158058
"74","Arcoscalpellum michelottianum",18,106182
"75","Arctica islandica",102,138802
"76","Arctozenus risso",1403,126352
"77","Ardea alba",NA,159381
"78","Ardea herodias",NA,159382
"79","Arenaria interpres",NA,147431
"80","Arenicola marina",1,129868
"81","Argentina silus",1503,126715
"82","Argis dentata",604,107550
"83","Argyropelecus aculeatus",73,127306
"84","Argyropelecus gigas",23,127308
"85","Ariomma bondi",1,159592
"86","Aristaeopsis edwardsiana",13,240796
"87","Aristostomias",3,126201
"88","Arrhis phyllonyx",4,102870
"89","Arrhoges occidentalis",119,531617
"90","Artediellus",3872,126147
"91","Ascidiacea",9355,1839
"92","Ascophyllum nodosum",64,145541
"93","Aspidophoroides monopterygius",2413,159459
"94","Aspidophoroides olrikii",123,309268
"95","Astarte",318,137683
"96","Asterias",6047,123219
"97","Astropecten americanus",68,158490
"98","Astropecten duplicatus",12,178650
"99","Atlantopandalus propinqvus",217,158351
"100","Atolla wyvillei",23,135282
"101","Aulacofusus brevicauda",1,490735
"102","Aurelia aurita",149,135306
"103","Axius serratus",23,158379
"104","Aythya affinis",NA,159161
"105","Aythya americana",NA,159162
"106","Aythya collaris",NA,159163
"107","Aythya fuligula",NA,159164
"108","Aythya marila",NA,159172
"109","Aythya valisineria",NA,159173
"110","Bajacalifornia megalops",3,126687
"111","Balaena mysticetus",NA,137086
"112","Balaenoptera acutorostrata",NA,137087
"113","Balaenoptera borealis",NA,137088
"114","Balaenoptera edeni",NA,137089
"115","Balaenoptera musculus",NA,137090
"116","Balaenoptera physalus",NA,137091
"117","Balanidae",76,106057
"118","Balistes capriscus",1,154721
"119","Balistes vetula",1,127397
"120","Bartramia longicauda",NA,159083
"121","Bassogigas gilli",2,217793
"122","Bathyarca",1,137673
"123","Bathygadus melanobranchus",1,126463
"124","Bathylagus bericoides",7,158720
"125","Bathylagus euryops",36,126719
"126","Bathynectes longispina",1,394995
"127","Bathynectes maravigna",4,107377
"128","Bathypolypus",2921,138265
"129","Bathypterois",66,125669
"130","Bathyraja spinicauda",576,105868
"131","Bathysaurus ferox",8,126369
"132","Bathytroctes microlepis",1,126693
"133","Benthodesmus elongatus",1,127086
"134","Benthodesmus simonyi",20,127087
