"aphiaID","ScientificName","Kingdom","Phylum","Class","Order","Family","Genus","Species"
159103,"Accipiter cooperii","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter","cooperii"
159104,"Accipiter gentilis","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter","gentilis"
159105,"Accipiter striatus","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter","striatus"
159081,"Actitis macularius","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","macularius"
159394,"Agelaius phoeniceus","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Agelaius","phoeniceus"
158938,"Aix sponsa","Animalia","Chordata","Aves","Anseriformes","Anatidae","Aix","sponsa"
137128,"Alca torda","Animalia","Chordata","Aves","Charadriiformes","Alcidae","Alca","torda"
137129,"Alle alle","Animalia","Chordata","Aves","Charadriiformes","Alcidae","Alle","alle"
159396,"Ammodramus caudacutus","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Ammodramus","caudacutus"
159397,"Ammodramus maritimus","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Ammodramus","maritimus"
158939,"Anas acuta","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","acuta"
158940,"Anas americana","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","americana"
158941,"Anas clypeata","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","clypeata"
158943,"Anas crecca","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","crecca"
158944,"Anas crecca carolinensis","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","crecca"
159167,"Anas discors","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","discors"
159168,"Anas penelope","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","penelope"
148791,"Anas platyrhynchos","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","platyrhynchos"
159169,"Anas querquedula","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","querquedula"
159170,"Anas rubripes","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","rubripes"
159171,"Anas strepera","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","strepera"
159159,"Anser albifrons","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anser","albifrons"
159107,"Aquila chrysaetos","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Aquila","chrysaetos"
159381,"Ardea alba","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Ardea","alba"
159382,"Ardea herodias","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Ardea","herodias"
147431,"Arenaria interpres","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Arenaria","interpres"
159161,"Aythya affinis","Animalia","Chordata","Aves","Anseriformes","Anatidae","Aythya","affinis"
159162,"Aythya americana","Animalia","Chordata","Aves","Anseriformes","Anatidae","Aythya","americana"
159163,"Aythya collaris","Animalia","Chordata","Aves","Anseriformes","Anatidae","Aythya","collaris"
159164,"Aythya fuligula","Animalia","Chordata","Aves","Anseriformes","Anatidae","Aythya","fuligula"
159172,"Aythya marila","Animalia","Chordata","Aves","Anseriformes","Anatidae","Aythya","marila"
159173,"Aythya valisineria","Animalia","Chordata","Aves","Anseriformes","Anatidae","Aythya","valisineria"
137086,"Balaena mysticetus","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenidae","Balaena","mysticetus"
137087,"Balaenoptera acutorostrata","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Balaenoptera","acutorostrata"
137088,"Balaenoptera borealis","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Balaenoptera","borealis"
137089,"Balaenoptera edeni","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Balaenoptera","edeni"
137090,"Balaenoptera musculus","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Balaenoptera","musculus"
137091,"Balaenoptera physalus","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Balaenoptera","physalus"
159083,"Bartramia longicauda","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Bartramia","longicauda"
159839,"Botaurus lentiginosus","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Botaurus","lentiginosus"
159175,"Branta bernicla","Animalia","Chordata","Aves","Anseriformes","Anatidae","Branta","bernicla"
159176,"Branta canadensis","Animalia","Chordata","Aves","Anseriformes","Anatidae","Branta","canadensis"
159177,"Branta leucopsis","Animalia","Chordata","Aves","Anseriformes","Anatidae","Branta","leucopsis"
159742,"Bubulcus ibis","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Bubulcus","ibis"
159179,"Bucephala albeola","Animalia","Chordata","Aves","Anseriformes","Anatidae","Bucephala","albeola"
159197,"Bucephala clangula","Animalia","Chordata","Aves","Anseriformes","Anatidae","Bucephala","clangula"
159198,"Bucephala islandica","Animalia","Chordata","Aves","Anseriformes","Anatidae","Bucephala","islandica"
137193,"Bulweria bulwerii","Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Bulweria","bulwerii"
159109,"Buteo jamaicensis","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Buteo","jamaicensis"
159110,"Buteo lagopus","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Buteo","lagopus"
159368,"Buteo lineatus","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Buteo","lineatus"
159370,"Buteo platypterus","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Buteo","platypterus"
159112,"Butorides virescens","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Butorides","virescens"
159084,"Calidris alba","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","alba"
159047,"Calidris alpina","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","alpina"
159048,"Calidris bairdii","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","bairdii"
147433,"Calidris canutus","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","canutus"
159049,"Calidris ferruginea","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","ferruginea"
159050,"Calidris fuscicollis","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","fuscicollis"
159051,"Calidris himantopus","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","himantopus"
159052,"Calidris maritima","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","maritima"
159053,"Calidris melanotos","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","melanotos"
