"SPEC","Freq","aphiaID","ScientificName","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Acanella arbuscula",17,125371,"Acanella arbuscula","Animalia","Cnidaria","Anthozoa","Alcyonacea","Keratoisididae","Acanella","Acanella arbuscula"
"Acanthephyra eximia",1,564909,"Acanthephyra eximia","Animalia","Arthropoda","Malacostraca","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra eximia"
"Acanthephyra purpurea",10,107582,"Acanthephyra purpurea","Animalia","Arthropoda","Malacostraca","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra purpurea"
"Acanthogorgia armata",11,125348,"Acanthogorgia armata","Animalia","Cnidaria","Anthozoa","Alcyonacea","Acanthogorgiidae","Acanthogorgia","Acanthogorgia armata"
"Acipenser oxyrhynchus",6,157870,"Acipenser oxyrhynchus","Animalia","Chordata","Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","Acipenser oxyrhynchus"
"Actiniidae",37,100653,"Actiniidae","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae",NA,NA
"Actinostola",48,100709,"Actinostola","Animalia","Cnidaria","Anthozoa","Actiniaria","Actinostolidae","Actinostola",NA
"Aega psora",4,118827,"Aega psora","Animalia","Arthropoda","Malacostraca","Isopoda","Aegidae","Aega","Aega psora"
"Agarum cribrosum",8,495975,"Agarum cribrosum","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Agaraceae","Agarum","Agarum cribrosum"
"Agriopoma morrhuanum",11,594424,"Agriopoma morrhuanum","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Agriopoma","Agriopoma morrhuanum"
"Alaria esculenta",2,145716,"Alaria esculenta","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Alaria","Alaria esculenta"
"Alcyonium digitatum",24,125333,"Alcyonium digitatum","Animalia","Cnidaria","Anthozoa","Alcyonacea","Alcyoniidae","Alcyonium","Alcyonium digitatum"
"Aldrovandia",28,125837,"Aldrovandia","Animalia","Chordata","Actinopteri","Notacanthiformes","Halosauridae","Aldrovandia",NA
"Alepisaurus brevirostris",1,126332,"Alepisaurus brevirostris","Animalia","Chordata","Actinopteri","Aulopiformes","Alepisauridae","Alepisaurus","Alepisaurus brevirostris"
"Alepisaurus ferox",1,126333,"Alepisaurus ferox","Animalia","Chordata","Actinopteri","Aulopiformes","Alepisauridae","Alepisaurus","Alepisaurus ferox"
"Alepocephalus agassizii",28,126681,"Alepocephalus agassizii","Animalia","Chordata","Actinopteri","Alepocephaliformes","Alepocephalidae","Alepocephalus","Alepocephalus agassizii"
