"","bathydemersal","bathypelagic","benthic","benthopelagic","demersal","pelagic"
"Acanella arbuscula",0,0,1,0,0,0
"Acanthephyra eximia",0,0,0,0,0,1
"Acanthephyra purpurea",0,0,0,0,0,1
"Acanthogorgia armata",0,0,1,0,0,0
"Acipenser oxyrinchus",0,0,0,0,1,0
"Actinauge",0,0,1,0,0,0
"Actiniidae",0,0,1,0,0,0
"Actinostola",0,0,1,0,0,0
"Aega psora",0,0,1,0,0,1
"Agarum cribrosum",0,0,1,0,0,0
"Agriopoma morrhuanum",0,0,1,0,0,0
"Alaria esculenta",0,0,1,0,0,0
"Alcyonidium",0,0,1,0,0,0
"Alcyonium digitatum",0,0,1,0,0,0
"Aldrovandia",0,1,0,1,0,1
"Alepisaurus brevirostris",0,1,0,0,0,1
"Alepisaurus ferox",0,1,0,0,0,1
"Alepocephalus agassizii",1,0,0,0,1,0
"Alepocephalus bairdii",1,0,0,0,1,0
"Alosa aestivalis",0,0,0,0,0,1
"Alosa pseudoharengus",0,0,0,0,0,1
"Alosa sapidissima",0,0,0,0,0,1
"Aluterus schoepfii",0,0,0,0,1,0
"Amblyraja hyperborea",1,0,0,0,1,0
"Amblyraja jenseni",1,0,0,0,1,0
"Amblyraja radiata",0,0,0,0,1,0
"Amicula vestita",0,0,1,0,0,0
"Ammodytes",0,0,0,1,1,1
"Ampelisca",0,0,1,1,1,1
"Amphiura",0,0,1,0,1,0
"Anarhichas denticulatus",0,0,0,1,0,1
"Anarhichas lupus",0,0,0,0,1,0
"Anarhichas minor",0,0,0,0,1,0
"Anguilla rostrata",0,0,0,0,1,0
"Anisarchus medius",0,0,0,0,1,0
"Anomia",0,0,1,0,0,0
"Anonyx",0,0,1,0,0,0
"Anoplogaster cornuta",0,1,0,0,0,1
"Anotopterus pharao",0,1,0,0,0,1
"Antalis",0,0,1,0,0,0
"Anthias nicholsi",0,0,0,1,0,1
"Anthomastus grandiflorus",0,0,1,0,0,0
"Anthoptilum grandiflorum",0,0,1,0,0,0
"Antigonia capros",0,0,0,0,1,0
"Antimora rostrata",0,1,0,0,0,1
"Aphanopus carbo",0,1,0,0,0,1
"Aphrodita hastata",0,0,1,0,0,0
