"","deposit","filter","grazer","parasite","plankton","predator","scavenger","suspension","xylophagous"
"Acanella arbuscula",0,0,0,0,0,0,0,1,0
"Acanthephyra eximia",1,0,0,0,0,0,0,0,0
"Acanthephyra purpurea",1,0,0,0,0,0,0,0,0
"Acanthogorgia armata",0,0,0,0,0,0,0,1,0
"Accipiter cooperii",0,0,0,0,0,1,0,0,0
"Accipiter gentilis",0,0,0,0,0,1,0,0,0
"Accipiter striatus",0,0,0,0,0,1,0,0,0
"Acipenser oxyrinchus",0,0,0,0,0,1,0,0,0
"Actinauge",0,1,0,0,0,0,0,0,0
"Actiniidae",0,0,0,0,0,1,0,0,0
"Actinostola",0,0,0,0,0,1,0,0,0
"Actitis macularius",0,0,0,0,0,1,0,0,0
"Aega psora",0,0,0,1,0,0,0,0,0
"Agarum cribrosum",0,0,0,0,0,0,0,0,0
"Agelaius phoeniceus",0,0,0,0,0,1,0,0,0
"Agriopoma morrhuanum",0,0,0,0,0,0,0,1,0
"Aix sponsa",0,0,1,0,0,0,0,0,0
"Alaria esculenta",0,0,0,0,0,0,0,0,0
"Alca torda",0,0,0,0,0,1,0,0,0
"Alcidae",0,0,0,0,0,1,0,0,0
"Alcyonidium",0,0,0,0,0,0,0,1,0
"Alcyonium digitatum",0,0,0,0,0,1,0,0,0
"Aldrovandia",0,0,0,0,0,1,0,0,0
"Alepisaurus brevirostris",0,0,0,0,0,1,0,0,0
"Alepisaurus ferox",0,0,0,0,0,1,0,0,0
"Alepocephalus agassizii",0,0,0,0,0,1,0,0,0
"Alepocephalus bairdii",0,0,0,0,0,1,0,0,0
"Alle alle",0,0,0,0,0,1,0,0,0
"Alosa aestivalis",0,0,0,0,0,1,0,0,0
"Alosa pseudoharengus",0,0,0,0,0,1,0,0,0
"Alosa sapidissima",0,0,0,0,0,1,0,0,0
"Aluterus schoepfii",0,0,1,0,0,0,0,0,0
"Amblyraja hyperborea",0,0,0,0,0,1,0,0,0
"Amblyraja jenseni",0,0,0,0,0,1,0,0,0
"Amblyraja radiata",0,0,0,0,0,1,0,0,0
"Amicula vestita",0,0,1,0,0,0,0,0,0
"Ammodramus caudacutus",0,0,0,0,0,1,0,0,0
"Ammodramus maritimus",0,0,0,0,0,1,0,0,0
"Ammodytes",0,1,0,0,1,1,0,0,0
"Ampelisca",1,1,0,0,0,0,0,0,0
"Amphiura",1,0,0,0,0,0,0,0,0
"Anarhichas denticulatus",0,0,0,0,0,1,0,0,0
"Anarhichas lupus",0,0,0,0,0,1,0,0,0
"Anarhichas minor",0,0,0,0,0,1,0,0,0
"Anas acuta",0,0,1,0,0,1,0,0,0
"Anas americana",0,0,1,0,0,1,0,0,0
"Anas clypeata",0,0,1,0,0,1,0,0,0
"Anas crecca",0,0,1,0,0,1,0,0,0
"Anas crecca carolinensis",0,0,1,0,0,1,0,0,0
"Anas discors",0,0,1,0,0,1,0,0,0
"Anas penelope",0,0,1,0,0,1,0,0,0
"Anas platyrhynchos",0,0,1,0,0,1,0,0,0
"Anas querquedula",0,0,1,0,0,1,0,0,0
"Anas rubripes",0,0,1,0,0,1,0,0,0
"Anas strepera",0,0,1,0,0,1,0,0,0
"Anguilla rostrata",0,0,0,0,0,1,0,0,0
"Anisarchus medius",0,0,0,0,0,1,0,0,0
"Anomia",0,1,0,0,0,0,0,0,0
"Anonyx",1,0,0,0,0,0,0,0,0
"Anoplogaster cornuta",0,0,0,0,0,1,0,0,0
"Anotopterus pharao",0,0,0,0,0,1,0,0,0
"Anser albifrons",0,0,1,0,0,0,0,0,0
"Antalis",1,0,0,0,0,0,0,0,0
