"","sessile","crawler","swimmer","burrower","mobile"
"Acanella arbuscula",1,0,0,0,0
"Acanthephyra eximia",0,1,0,0,0
"Acanthephyra purpurea",0,1,0,0,0
"Acanthogorgia armata",1,0,0,0,0
"Acipenser oxyrinchus",0,0,0,0,1
"Actinauge",1,0,0,0,0
"Actiniidae",1,0,0,0,0
"Actinostola",1,0,0,0,0
"Aega psora",0,0,0,0,1
"Agarum cribrosum",1,0,0,0,0
"Agriopoma morrhuanum",1,0,0,0,0
"Alaria esculenta",1,0,0,0,0
"Alcyonidium",1,0,0,0,0
"Alcyonium digitatum",1,0,0,0,0
"Aldrovandia",0,0,0,0,1
"Alepisaurus brevirostris",0,0,0,0,1
"Alepisaurus ferox",0,0,0,0,1
"Alepocephalus agassizii",0,0,0,0,1
"Alepocephalus bairdii",0,0,0,0,1
"Alosa aestivalis",0,0,0,0,1
"Alosa pseudoharengus",0,0,0,0,1
"Alosa sapidissima",0,0,0,0,1
"Aluterus schoepfii",0,0,0,0,1
"Amblyraja hyperborea",0,0,0,0,1
"Amblyraja jenseni",0,0,0,0,1
"Amblyraja radiata",0,0,0,0,1
"Amicula vestita",0,1,0,0,0
"Ammodytes",0,0,0,0,1
"Ampelisca",0,0,1,0,0
"Amphiura",0,1,0,0,0
"Anarhichas denticulatus",0,0,0,0,1
"Anarhichas lupus",0,0,0,0,1
"Anarhichas minor",0,0,0,0,1
"Anguilla rostrata",0,0,0,0,1
"Anisarchus medius",0,0,0,0,1
"Anomia",1,0,0,0,0
"Anonyx",0,0,1,0,0
"Anoplogaster cornuta",0,0,0,0,1
"Anotopterus pharao",0,0,0,0,1
"Antalis",0,0,0,1,0
"Anthias nicholsi",0,0,0,0,1
"Anthomastus grandiflorus",1,0,0,0,0
"Anthoptilum grandiflorum",1,0,0,0,0
"Antigonia capros",0,0,0,0,1
"Antimora rostrata",0,0,0,0,1
"Aphanopus carbo",0,0,0,0,1
"Aphrodita hastata",0,0,0,1,0
"Apristurus",0,0,0,0,1
"Arbacia punctulata",0,1,0,0,0
"Arcoscalpellum michelottianum",1,0,0,0,0
"Arctica islandica",0,0,0,1,0
"Arctozenus risso",0,0,0,0,1
"Arenicola marina",0,0,0,1,0
"Argentina silus",0,0,0,0,1
"Argis dentata",0,0,0,0,1
"Argyropelecus aculeatus",0,0,0,0,1
"Argyropelecus gigas",0,0,0,0,1
"Ariomma bondi",0,0,0,0,1
"Aristaeopsis edwardsiana",0,0,0,0,1
"Aristostomias",0,0,0,0,1
"Arrhis phyllonyx",0,0,1,0,0
"Arrhoges occidentalis",0,0,0,1,0
"Artediellus",0,0,0,0,1
"Ascidiacea",1,0,0,0,0
"Ascophyllum nodosum",1,0,0,0,0
"Aspidophoroides monopterygius",0,0,0,0,1
"Aspidophoroides olrikii",0,0,0,0,1
"Astarte",1,0,0,0,0
"Asterias",0,1,0,0,0
"Astropecten americanus",0,1,0,0,0
"Astropecten duplicatus",0,1,0,0,0
"Atlantopandalus propinqvus",0,0,0,0,1
