"","Size"
"Acanella arbuscula",20
"Acanthephyra eximia",7.225
"Acanthephyra purpurea",7.225
"Acanthogorgia armata",25
"Acipenser oxyrinchus",403
"Actinauge",8
"Actiniidae",9.9
"Actinostola",10
"Aega psora",3.47777777777778
"Agarum cribrosum",50
"Agriopoma morrhuanum",6.7
"Alaria esculenta",150
"Alcyonidium",30
"Alcyonium digitatum",20
"Aldrovandia",50.9666665395101
"Alepisaurus brevirostris",96
"Alepisaurus ferox",215
"Alepocephalus agassizii",123
"Alepocephalus bairdii",100
"Alosa aestivalis",40
"Alosa pseudoharengus",40
"Alosa sapidissima",76
"Aluterus schoepfii",61
"Amblyraja hyperborea",112
"Amblyraja jenseni",74.25
"Amblyraja radiata",105
"Amicula vestita",6
"Ammodytes",23.0833333333333
"Ampelisca",1.95
"Amphiura",5
"Anarhichas denticulatus",180
"Anarhichas lupus",150
"Anarhichas minor",180
"Anguilla rostrata",152
"Anisarchus medius",30
"Anomia",4.273
"Anonyx",3
"Anoplogaster cornuta",18
"Anotopterus pharao",96
"Antalis",3.34285714285714
"Anthias nicholsi",25
"Anthomastus grandiflorus",10
"Anthoptilum grandiflorum",46
"Antigonia capros",30.5
"Antimora rostrata",75
"Aphanopus carbo",151
"Aphrodita hastata",7
"Apristurus",69.8666667360248
"Arbacia punctulata",4.7
"Arcoscalpellum michelottianum",10
"Arctica islandica",12.7
"Arctozenus risso",30
"Arenicola marina",6.6
"Argentina silus",70
"Argis dentata",9
"Argyropelecus aculeatus",8.30000019073486
"Argyropelecus gigas",12
"Ariomma bondi",30
"Aristaeopsis edwardsiana",19.2999992370605
"Aristostomias",19.4500001271566
"Arrhis phyllonyx",1.75
"Arrhoges occidentalis",4.5
"Artediellus",9.1699999332428
"Ascidiacea",7
"Ascophyllum nodosum",150
"Aspidophoroides monopterygius",22
"Aspidophoroides olrikii",8.60000038146973
"Astarte",2.52454545454545
"Asterias",51
"Astropecten americanus",29
"Astropecten duplicatus",29
"Atlantopandalus propinqvus",12.5
"Atolla wyvillei",15
